1.70	1.70	1.70	999999	1.10	1.10	1.10	999999	1.10	1.10	1.10	999999	1.70	1.70	1.70	999999	999999	999999	999999	999999	999999	999999	999999	999999
1.70	1.70	999999	1.70	1.10	1.10	999999	1.10	1.10	1.10	999999	1.10	1.70	1.70	999999	1.70	999999	999999	999999	999999	999999	999999	999999	999999
1.70	999999	-0.40	1.70	1.10	999999	-1.00	1.10	1.10	999999	-1.00	1.10	1.70	999999	-0.40	1.70	999999	999999	999999	999999	999999	999999	999999	999999
999999	1.70	1.70	1.50	999999	1.10	1.10	1.00	999999	1.10	1.10	1.10	999999	1.70	1.70	1.20	999999	999999	999999	999999	999999	999999	999999	999999
1.10	1.10	1.10	999999	0.40	-0.40	0.40	999999	1.10	0.40	0.40	999999	1.10	1.10	1.10	999999	999999	999999	999999	999999	999999	999999	999999	999999
1.10	1.10	999999	1.10	0.30	0.50	999999	0.50	0.40	0.40	999999	0.40	1.10	1.10	999999	1.10	999999	999999	999999	999999	999999	999999	999999	999999
1.10	999999	-1.00	1.10	-0.10	999999	-1.70	0.40	0.40	999999	-1.40	0.40	1.10	999999	-1.00	1.10	999999	999999	999999	999999	999999	999999	999999	999999
999999	1.10	1.10	1.10	999999	0.00	0.40	-0.30	999999	0.40	0.40	0.40	999999	1.10	1.10	1.10	999999	999999	999999	999999	999999	999999	999999	999999
1.10	1.10	1.10	999999	0.80	0.40	0.40	999999	0.40	0.30	-0.10	999999	1.10	1.10	1.10	999999	999999	999999	999999	999999	999999	999999	999999	999999
1.10	1.10	999999	1.10	0.40	0.40	999999	0.40	-0.40	0.50	999999	0.00	1.10	1.10	999999	1.10	999999	999999	999999	999999	999999	999999	999999	999999
1.10	999999	-1.00	1.10	0.40	999999	-2.10	0.40	0.40	999999	-1.70	0.40	1.10	999999	-1.00	1.10	999999	999999	999999	999999	999999	999999	999999	999999
999999	1.10	1.10	1.10	999999	0.40	0.40	-0.70	999999	0.50	0.40	-0.30	999999	1.10	1.10	1.00	999999	999999	999999	999999	999999	999999	999999	999999
1.70	1.70	1.70	999999	1.10	1.10	1.10	999999	1.10	1.10	1.10	999999	1.70	1.70	1.70	999999	999999	999999	999999	999999	999999	999999	999999	999999
1.70	1.70	999999	1.70	1.10	1.10	999999	1.10	1.10	1.10	999999	1.10	1.70	1.70	999999	1.70	999999	999999	999999	999999	999999	999999	999999	999999
1.70	999999	-0.40	1.70	1.10	999999	-1.00	1.10	1.10	999999	-1.00	1.10	1.70	999999	-0.40	1.70	999999	999999	999999	999999	999999	999999	999999	999999
999999	1.70	1.70	1.80	999999	1.10	1.10	1.10	999999	1.10	1.10	1.10	999999	1.70	1.70	1.50	999999	999999	999999	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
