999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-0.30	-0.50	-0.30	-0.30
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-0.10	-0.20	-1.50	-0.20
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-1.10	-1.20	-0.20	0.20
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-0.30	-0.30	-0.60	-1.10
999999	999999	999999	999999	999999	999999	999999	999999	-1.50	-1.50	-1.40	-1.80	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	-1.00	-0.90	-2.90	-0.80	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	-2.20	-2.00	-1.60	-1.10	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	-1.70	-1.40	-1.80	-2.00	999999	999999	999999	999999
999999	999999	999999	999999	-1.10	-1.50	-1.30	-2.10	999999	999999	999999	999999	0.20	-0.50	-0.30	-0.30
999999	999999	999999	999999	-1.10	-0.70	-2.40	-0.50	999999	999999	999999	999999	-0.10	-0.20	-1.50	-0.20
999999	999999	999999	999999	-2.40	-2.90	-1.40	-1.20	999999	999999	999999	999999	-0.90	-1.10	-0.30	0.00
999999	999999	999999	999999	-1.90	-1.00	-2.20	-1.50	999999	999999	999999	999999	-0.30	-0.30	-0.40	-1.10
-0.50	-0.30	-0.60	-0.50	999999	999999	999999	999999	-0.50	-0.30	-0.60	-0.50	999999	999999	999999	999999
-0.20	-0.10	-1.20	-0.00	999999	999999	999999	999999	-0.20	-0.10	-1.70	0.00	999999	999999	999999	999999
-1.40	-1.20	-0.70	-0.20	999999	999999	999999	999999	-0.80	-1.20	-0.30	-0.70	999999	999999	999999	999999
-0.30	-0.10	-0.50	-0.80	999999	999999	999999	999999	-0.60	-0.10	-0.60	-0.80	999999	999999	999999	999999
