999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-0.80	-1.00	-0.80	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-0.60	-0.70	999999	-0.70
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-0.80	999999	-0.80	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-0.80	999999	-0.80
999999	999999	999999	999999	999999	999999	999999	999999	-1.50	-1.50	-1.40	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	-1.00	-1.10	999999	-0.80	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	-1.40	999999	-1.60	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	-1.40	999999	-1.20	999999	999999	999999	999999
999999	999999	999999	999999	-1.10	-1.50	-1.30	999999	999999	999999	999999	999999	-0.30	-1.00	-0.80	999999
999999	999999	999999	999999	-1.10	-0.70	999999	-0.50	999999	999999	999999	999999	-0.60	-0.70	999999	-0.70
999999	999999	999999	999999	-1.60	999999	-1.40	999999	999999	999999	999999	999999	-0.60	999999	-0.80	999999
999999	999999	999999	999999	999999	-1.00	999999	-0.70	999999	999999	999999	999999	999999	-0.80	999999	-0.80
-1.00	-0.80	-1.10	999999	999999	999999	999999	999999	-1.00	-0.80	-1.10	999999	999999	999999	999999	999999
-0.70	-0.60	999999	-0.50	999999	999999	999999	999999	-0.70	-0.60	999999	-0.50	999999	999999	999999	999999
-1.10	999999	-1.20	999999	999999	999999	999999	999999	-0.50	999999	-0.80	-0.80	999999	999999	999999	999999
999999	-0.60	999999	-0.50	999999	999999	999999	999999	999999	-0.60	-1.10	-0.50	999999	999999	999999	999999
