999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-0.90
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-2.20	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-2.10	999999	-0.60
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-1.10	999999	-1.40	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-2.10	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-3.30	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	999999	-2.40	999999	-1.40	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	-2.10	999999	-2.10	999999	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	-2.40	999999	999999	999999	999999	999999	999999	999999	-1.30
999999	999999	999999	999999	999999	999999	-3.40	999999	999999	999999	999999	999999	999999	999999	-2.50	999999
999999	999999	999999	999999	999999	-3.30	999999	-1.50	999999	999999	999999	999999	999999	-2.10	999999	999999
999999	999999	999999	999999	-2.20	999999	-2.50	999999	999999	999999	999999	999999	-1.40	999999	999999	999999
999999	999999	999999	-1.30	999999	999999	999999	999999	999999	999999	999999	-1.00	999999	999999	999999	999999
999999	999999	-2.40	999999	999999	999999	999999	999999	999999	999999	-1.50	999999	999999	999999	999999	999999
999999	-2.10	999999	-1.00	999999	999999	999999	999999	999999	-1.40	999999	999999	999999	999999	999999	999999
-0.90	999999	-1.30	999999	999999	999999	999999	999999	-0.60	999999	999999	999999	999999	999999	999999	999999
