999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	1.85	1.85	0.75	1.85
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	1.85	1.85	1.85	1.85
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	0.75	1.85	1.85	1.85
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	1.85	1.85	1.85	1.15
999999	999999	999999	999999	999999	999999	999999	999999	1.15	1.15	0.05	1.15	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	1.15	1.15	1.15	1.15	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	0.05	1.15	1.15	1.15	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	999999	999999	1.15	1.15	1.15	0.45	999999	999999	999999	999999
999999	999999	999999	999999	1.15	1.15	0.05	1.15	999999	999999	999999	999999	1.85	1.85	0.75	1.85
999999	999999	999999	999999	1.15	1.15	1.15	1.15	999999	999999	999999	999999	1.85	1.85	1.85	1.85
999999	999999	999999	999999	0.05	1.15	1.15	1.15	999999	999999	999999	999999	0.75	1.85	1.85	1.85
999999	999999	999999	999999	1.15	1.15	1.15	0.45	999999	999999	999999	999999	1.85	1.85	1.85	1.15
1.85	1.85	0.75	1.85	999999	999999	999999	999999	1.85	1.85	0.75	1.85	999999	999999	999999	999999
1.85	1.85	1.85	1.85	999999	999999	999999	999999	1.85	1.85	1.85	1.85	999999	999999	999999	999999
0.75	1.85	1.85	1.85	999999	999999	999999	999999	0.75	1.85	1.85	1.85	999999	999999	999999	999999
1.85	1.85	1.85	1.15	999999	999999	999999	999999	1.85	1.85	1.85	1.15	999999	999999	999999	999999
